I Like It,Cardi B,I like texts from my exes when they want a second chance
I Like It,Cardi B,Bad bitch make him nervous
Havana,Camila Cabello,I knew it when I met him I loved him when I left him
Havana,Camila Cabello,He got me feelin' like
X,Nicky Jam,
X,Nicky Jam,
Moonlight,XXXTENTACION,why you trippin'? Get your mood right
Moonlight,XXXTENTACION,"Feel like I'm destined I don't need no Smith & Wesson, no"
Mine,Bazzi,Girl anything I can do just to make you feel alright
Mine,Bazzi,Running circles 'round my mind even when it's rainy all you ever do is shine
Ric Flair Drip (& Metro Boomin),Offset,"Balenciaga, check my posture, Valentino boots"
Ric Flair Drip (& Metro Boomin),Offset,Hop in my Bentayga and the seat is a masseuse
Freaky Friday (feat. Chris Brown),Lil Dicky,*Somehow this shit turned into Freaky Friday
Freaky Friday (feat. Chris Brown),Lil Dicky,"I‰Ûªm balling on the court, oh my God I can dunk"
Believer,Imagine Dragons,Don't you tell me what you think that I can be
Believer,Imagine Dragons,"You made me a believer, believer"
Pray For Me (with Kendrick Lamar),The Weeknd,You know I'll ride again
Pray For Me (with Kendrick Lamar),The Weeknd,"I fight the world, I fight you, I fight myself"
Walk It Talk It,Migos,Take my shoes and walk a mile
Walk It Talk It,Migos,"That's my sauce, where you find it?"
Him & I (with Halsey),G-Eazy,"They don't wanna see us make it, they just wanna divide"
Him & I (with Halsey),G-Eazy,"Cross my heart, hope to die, To my lover, I'd never lie"
Stir Fry,Migos,Dance with my dogs in the nighttime (wroof)
Stir Fry,Migos,We livin' fast now (fast)
I Like Me Better,Lauv,To be drunk and in love in New York City
I Like Me Better,Lauv,I like me better when I'm with you
This Is Me,Keala Settle,"I am who I'm meant to be, this is me"
This Is Me,Keala Settle,And I'm marching on to the beat I drum
Everybody Dies In Their Nightmares,XXXTENTACION,"Only time I feel pain, when I'm feelin' love"
Everybody Dies In Their Nightmares,XXXTENTACION,"Don't go, stay up and don't go"
No Brainer,DJ Khaled,"You stick out of the crowd, baby, it's a no-brainer"
No Brainer,DJ Khaled,"Movin' my soul, yeah, you're spiritual"
That's What I Like,Bruno Mars,"I got a condo in Manhattan / Baby girl, what's happnin'?"
That's What I Like,Bruno Mars,"Said you got it if you want it, take my wallet if you want it, now"
Paris,The Chainsmokers,Let's show them we are
Paris,The Chainsmokers,We'll get away with everything / Let's show them we are better
Mask Off,Future,Hit the gas / Bossing my adrenaline
Mask Off,Future,"*Fuck it, mask off"
Castle on the Hill,Ed Sheeran,"I was younger then, take me back to when I / Found my heart and broke it here"
Castle on the Hill,Ed Sheeran,"And I miss the way you make me feel, and it's real"
Believer,Imagine Dragons,All the hate that you've heard has turned your spirit to a dove
Believer,Imagine Dragons,Building my rain up in the cloud / Falling like ashes to the ground
There's Nothing Holdin' Me Back,Shawn Mendes,
There's Nothing Holdin' Me Back,Shawn Mendes,
Galway Girl,Ed Sheeran,
Galway Girl,Ed Sheeran,
Fake Love,Drake,I got fake people showin' fake love to me
Fake Love,Drake,"Yeah, I know they wanna take my place"
Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,you see me holding up my middlefinger to the world
Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,"*Some days I'm nice, some days I can be a bitch"
Sorry Not Sorry,Demi Lovato,"Baby, I'm sorry (I'm not sorry)"
Sorry Not Sorry,Demi Lovato,"And baby, I'm the baddest"
You Don't Know Me - Radio Edit,Jax Jones,Don't act like you know me
You Don't Know Me - Radio Edit,Jax Jones,"See, I can't get too much of a good thing"
"How Far I'll Go - From ""Moana""",Alessia Cara,if I go there's just no telling how far I'll go
"How Far I'll Go - From ""Moana""",Alessia Cara,"I can lead with pride, I can make us strong"
Bounce Back,Big Sean,"Last night took an L, but tonight I bounce back"
Bounce Back,Big Sean,"*Knew that ass was real when I hit, it bounce back"
Weak,AJR,"Boy, oh boy I love it when I fall for that, I'm weak, and what's wrong with that?"
Weak,AJR,"""No thank you"" is what I should've said, I should be in bed"
I Like Me Better,Lauv,"Damn, I like me better when I'm with you"
I Like Me Better,Lauv,To not know who I am but still know that I'm good long as you're here with me
Bad Things (with Camila Cabello),Machine Gun Kelly,Am I out of my mind?
Bad Things (with Camila Cabello),Machine Gun Kelly,"What can I say, it's complicated"
