rockstar (feat. 21 Savage),Post Malone,"Man, I feel just like a rockstar"
rockstar (feat. 21 Savage),Post Malone,Your wifey say I'm lookin' like a whole snack
Better Now,Post Malone,"Woulda gave you anything, woulda gave you everything"
Better Now,Post Malone,"I swear to you, I'll be okay you're only the love of my life"
no tears left to cry,Ariana Grande,Ain't got no tears left to cry
no tears left to cry,Ariana Grande,"Right now, I'm in a state of mind I wanna be in, like, all the time"
Youngblood,5 Seconds of Summer,"I give and I give and I give and you take, give and you take"
Youngblood,5 Seconds of Summer,Say you want me out of your life
Love Lies (with Normani),Khalid,Are you down for the ride?
Love Lies (with Normani),Khalid,Don't be afraid to tell me if you ain't with it
I Fall Apart,Post Malone,She fooled me twice and it's all my fault
I Fall Apart,Post Malone,Never caught a feelin' this hard harder than the liquor I pour
Never Be the Same,Camila Cabello,"Just one hit of you, I knew I‰Ûªll never ever, ever be the same"
Never Be the Same,Camila Cabello,"I'm a sucker for the way that you move, babe and I could try to run, but it would be useless"
Wolves,Selena Gomez,I've been running with the wolves to get to you
Wolves,Selena Gomez,I wanna feel the way that we did that summer night 
changes,XXXTENTACION,"You're changing, I can't stand it"
changes,XXXTENTACION,"My heart can't take this damage And the way I feel, can't stand it"
In My Mind,Dynoro,"The dreams we have, the love we share This is what we're waiting for"
In My Mind,Dynoro,"In my mind, in my head"
Thunder,Imagine Dragons,I was lightning before the thunder
Thunder,Imagine Dragons,I was dreaming of bigger things
Call Out My Name,The Weeknd,"Girl, call out my name, and I'll be on my way"
Call Out My Name,The Weeknd,I made sure I held you close to me
FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,"Colorful hair, don't care"
FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,"Eeny, meeny, miny, moe"
Fuck Love (feat. Trippie Redd),XXXTENTACION,"Please don't throw your love away, huh"
Fuck Love (feat. Trippie Redd),XXXTENTACION,"Baby, I need you in my life, in my life"
Silence,Marshmello,"Yeah, I'd rather be a lover than a fighter"
Silence,Marshmello,I've been quiet for too long
God is a woman,Ariana Grande,You'll believe God is a woman
God is a woman,Ariana Grande,"So, baby, take my hand, save your soul"
Plug Walk,Rich The Kid,I make money when I talk
Plug Walk,Rich The Kid,"It's the plug tryna call me (skrrt, skrrt)"
lovely (with Khalid),Billie Eilish,"Heart made of glass, my mind of stone"
lovely (with Khalid),Billie Eilish,But I know some day I'll make it out of here
Young Dumb & Broke,Khalid,"Yeah, we're just young dumb and broke"
Young Dumb & Broke,Khalid,But we still got love to give
Promises (with Sam Smith),Calvin Harris,"Magic is in the air, there ain't no science here"
Promises (with Sam Smith),Calvin Harris,So come get your everything (tonight)
Rewrite The Stars,Zac Efron,What if we rewrite the stars?
Rewrite The Stars,Zac Efron,All I want is to fly with you
I Miss You (feat. Julia Michaels),Clean Bandit,"I miss you, yeah I miss you"
I Miss You (feat. Julia Michaels),Clean Bandit,"Yeah, I saved all the texts off of my ex"
Dusk Till Dawn - Radio Edit,ZAYN,I'll be with you from dusk till dawn
Dusk Till Dawn - Radio Edit,ZAYN,Can you feel where the wind is
Be Alright,Dean Lewis,It'll be alright
Be Alright,Dean Lewis,But nothing heals the past like time
HUMBLE.,Kendrick Lamar,"Pull up on your block, then break it down"
HUMBLE.,Kendrick Lamar,"Watch my soul speak, you let the meds talk"
I Don't Want to Live Forever,ZAYN,"Baby, baby, I feel crazy, up all night, all night and every day"
I Don't Want to Live Forever,ZAYN,Countin' them bands on my way to the top 'til we fallin' over
Thunder,Imagine Dragons,I was dreaming of bigger things / And wanna leave my own life behind
Thunder,Imagine Dragons,Now I'm smiling from the stage while / You were clapping in the nose bleeds
Scared to Be Lonely,Martin Garrix,
Scared to Be Lonely,Martin Garrix,
Passionfruit,Drake,Passionate from miles away
Passionfruit,Drake,"Ayy, y'all get some more drinks goin' on, I'll sound a whole lot better"
rockstar,Post Malone,Feel just like a rockstar
rockstar,Post Malone,Your wifey say I'm lookin' like a whole snack
Bad and Boujee (feat. Lil Uzi Vert),Migos,"Raindrops, drop tops"
Bad and Boujee (feat. Lil Uzi Vert),Migos,"Ice on my neck, I'm the coolest"
Let Me Love You,DJ Snake,Let me love you
Let Me Love You,DJ Snake,Never let you go
Sign of the Times,Harry Styles,"Just stop your crying, it's a sign of the times"
Sign of the Times,Harry Styles,"They told me that the end is near, we gotta get away from here"
Young Dumb & Broke,Khalid,"We're just young, dumb and broke but we still got love to give"
Young Dumb & Broke,Khalid,What's fun about commitment when we have our life to live
Silence,Marshmello,"I found peace in your violence, can't tell me there's no point in trying"
Silence,Marshmello,"I'm so used to being in the wrong, I'm tired of caring, loving never gave me a home, so I'll sit here in the silence"
Just Hold On,Steve Aoki,What do you do when a chapter ends?‰ÛÂ Do you close the book and never read it again?‰ÛÂ
Just Hold On,Steve Aoki,"The sun goes down and it comes back up, the world it turns no matter what "
Glorious (feat. Skylar Grey),Macklemore,"Seek and I find I can sleep when I die, wanna piece of the pie, grab the keys to the ride"
Glorious (feat. Skylar Grey),Macklemore,"I made it through the darkest part of the night and now I see the sunrise, now I feel glorious"
In the Name of Love,Martin Garrix,"I will hold you in the depths of your despair, and it's all in the name of love"
In the Name of Love,Martin Garrix,You bring me back to life
Malibu,Miley Cyrus,Next to you the sky is more blue
Malibu,Miley Cyrus,We are just like the waves that flow back and forth
Hear Me Now,Alok,Things aren't easy
Hear Me Now,Alok,"You're not always right, no"
Don't Let Me Down,The Chainsmokers,Right now I need a miracle
Don't Let Me Down,The Chainsmokers,Now there's nobody by my side
Dusk Till Dawn - Radio Edit,ZAYN,Not tryna be cool
Dusk Till Dawn - Radio Edit,ZAYN,I'll be with you from dusk till dawn
