Nice For What,Drake,said you'd be there for me
Nice For What,Drake,"You know dark days, you know hard times"
New Rules,Dua Lipa,"But my love, he doesn't love me"
New Rules,Dua Lipa,don't let him in you'll have to kick him out again
Shape of You,Ed Sheeran,Your love was handmade for somebody like me
Shape of You,Ed Sheeran,We push and pull like a magnet do although my heart is falling too
River (feat. Ed Sheeran),Eminem,"I've been a liar, been a thief"
River (feat. Ed Sheeran),Eminem,If all it's gonna cause is pain
Jackie Chan,Ti?sto,"She just wanna do it for the 'Gram (you know, you know)"
Jackie Chan,Ti?sto,"*Now your bitch wanna kick it, Jackie Chan"
Finesse (Remix) [feat. Cardi B],Bruno Mars,We out here drippin' in finesse
Finesse (Remix) [feat. Cardi B],Bruno Mars,"Yeah, we got it goin' on, got it goin' on"
Happier,Marshmello,"I want you to be happier, I want you to be happier"
Happier,Marshmello,I want to see you smile
Rise,Jonas Blue,We're gonna ri-ri-ri-ri-rise 'til we fall
Rise,Jonas Blue,They say we're too savage
2002,Anne-Marie,"Oops, I got 99 problems singing bye, bye, bye"
2002,Anne-Marie,Dancing on the hood in the middle of the woods
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,"Someone will love you, let me go"
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,"Good on paper, picture perfect"
Feel It Still,Portugal. The Man,"Ooh woo, I'm a rebel just for kicks, now"
Feel It Still,Portugal. The Man,"Might've had your fill, but you feel it still"
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,"If love's the game, let's play a million times"
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,"Love how you count it out for me, babe"
Shape of You,Ed Sheeran,Your love was handmade for somebody like me
Shape of You,Ed Sheeran,I'm in love with the shape of you
I'm the One,DJ Khaled,"I'm the best yet, and yet, my best is yet to come"
I'm the One,DJ Khaled,"Yeah, you're lookin' at the truth, the money never lie no"
Unforgettable,French Montana,"*A fucking good time, never hurt nobody"
Unforgettable,French Montana,"It's not good enough for me, since I been with you"
Attention,Charlie Puth,"You've been runnin' round, runnin' round, runnin' round throwin' that dirt all on my name"
Attention,Charlie Puth,"You just want attention, you don't want my heart"
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,Love in a thousand different flavors / I wish that I could taste them all tonight
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,"When she droppin' low, put it on the 'Gram"
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,Facing the hard life without no fear
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,Just see and know that you really care
Closer,The Chainsmokers,
Closer,The Chainsmokers,
Wild Thoughts,DJ Khaled,"When I'm with you, all I get is wild thoughts"
Wild Thoughts,DJ Khaled,"I wanna be your baby, baby, baby"
New Rules,Dua Lipa,"I've got new rules, I count 'em"
New Rules,Dua Lipa,"One, don't pick up the phone"
Call On Me - Ryan Riback Extended Remix,Starley,"Call on me, darling"
Call On Me - Ryan Riback Extended Remix,Starley,we'll say a little prayer
Feels,Calvin Harris,Do you mind if I steal a kiss?
Feels,Calvin Harris,Don't be afraid to catch feels
iSpy (feat. Lil Yachty),KYLE,I spy with my little eye
iSpy (feat. Lil Yachty),KYLE,"Wait, that means forever, ever, hold up, never mind"
24K Magic,Bruno Mars,Twenty four karat magic in the air
24K Magic,Bruno Mars,What y'all trying to do?
Slow Hands,Niall Horan,We should take this back to my place
Slow Hands,Niall Horan,I just wanna take my time
Your Song,Rita Ora,I found my heart up in this place tonight
Your Song,Rita Ora,"I don't want to hear sad songs anymore, I only want to hear love songs"
Friends (with BloodPopÌ´å¬),Justin Bieber,Can we be friends?
Friends (with BloodPopÌ´å¬),Justin Bieber,"Wonderin' if you think about me, actually, don't answer that"
Body Like A Back Road,Sam Hunt,"Doin' 15 in a 30, I ain't in no hurry"
Body Like A Back Road,Sam Hunt,I'mma take it slow just as fast as I can
